client_name,client_email,client_phone,external_code,invoice_reference,invoice_amount,invoice_issued_at,invoice_due_at
Entreprise Cliente 39,finance39@client.tg,,CL039,FAC0099,500000.00,2026-08-28,2026-10-27
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0100,75000.00,2026-09-02,2026-11-01
Entreprise Cliente 53,finance53@client.tg,,CL053,FAC0101,1200000.00,2026-08-10,2026-10-09
Entreprise Cliente 57,finance57@client.tg,,CL057,FAC0102,2500000.00,2026-09-03,2026-10-18
Entreprise Cliente 3,finance3@client.tg,,CL003,FAC0103,120000.00,2026-08-30,2026-10-29
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0104,500000.00,2026-08-19,2026-10-18
Entreprise Cliente 16,finance16@client.tg,,CL016,FAC0105,250000.00,2026-08-26,2026-09-25
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0106,250000.00,2026-09-09,2026-11-08
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0107,75000.00,2026-09-14,2026-09-29
Entreprise Cliente 57,finance57@client.tg,,CL057,FAC0108,5000000.00,2026-08-16,2026-09-15
Entreprise Cliente 47,finance47@client.tg,,CL047,FAC0109,350000.00,2026-08-19,2026-09-03
Entreprise Cliente 5,finance5@client.tg,,CL005,FAC0110,120000.00,2026-08-27,2026-09-11
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0111,250000.00,2026-09-02,2026-10-17
Entreprise Cliente 3,finance3@client.tg,,CL003,FAC0112,2500000.00,2026-08-17,2026-09-16
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0113,2500000.00,2026-08-02,2026-08-17
Entreprise Cliente 26,finance26@client.tg,,CL026,FAC0114,75000.00,2026-08-22,2026-10-21
Entreprise Cliente 59,finance59@client.tg,,CL059,FAC0115,250000.00,2026-08-17,2026-09-01
Entreprise Cliente 30,finance30@client.tg,,CL030,FAC0116,120000.00,2026-09-12,2026-11-11
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0117,250000.00,2026-08-06,2026-09-05
Entreprise Cliente 54,finance54@client.tg,,CL054,FAC0118,75000.00,2026-08-18,2026-09-17
Entreprise Cliente 35,finance35@client.tg,,CL035,FAC0119,1200000.00,2026-08-12,2026-09-26
Entreprise Cliente 18,finance18@client.tg,,CL018,FAC0120,250000.00,2026-08-05,2026-08-20
Entreprise Cliente 46,finance46@client.tg,,CL046,FAC0121,75000.00,2026-08-23,2026-09-22
Entreprise Cliente 52,finance52@client.tg,,CL052,FAC0122,5000000.00,2026-08-29,2026-09-13
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0123,75000.00,2026-08-25,2026-10-09
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0124,350000.00,2026-08-04,2026-10-03
Entreprise Cliente 2,finance2@client.tg,,CL002,FAC0125,1200000.00,2026-08-16,2026-09-15
Entreprise Cliente 44,finance44@client.tg,,CL044,FAC0126,120000.00,2026-08-01,2026-09-15
Entreprise Cliente 11,finance11@client.tg,,CL011,FAC0127,75000.00,2026-08-07,2026-09-06
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0128,5000000.00,2026-09-02,2026-09-17
Entreprise Cliente 14,finance14@client.tg,,CL014,FAC0129,5000000.00,2026-09-10,2026-10-10
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0130,350000.00,2026-08-26,2026-10-25
Entreprise Cliente 1,finance1@client.tg,,CL001,FAC0131,1200000.00,2026-08-23,2026-10-07
Entreprise Cliente 30,finance30@client.tg,,CL030,FAC0132,350000.00,2026-08-01,2026-09-30
Entreprise Cliente 40,finance40@client.tg,,CL040,FAC0133,750000.00,2026-09-12,2026-10-27
Entreprise Cliente 20,finance20@client.tg,,CL020,FAC0134,2500000.00,2026-08-05,2026-09-04
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0135,750000.00,2026-08-07,2026-09-06
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0136,250000.00,2026-09-10,2026-11-09
Entreprise Cliente 31,finance31@client.tg,,CL031,FAC0137,120000.00,2026-08-12,2026-09-26
Entreprise Cliente 33,finance33@client.tg,,CL033,FAC0138,350000.00,2026-08-02,2026-10-01
Entreprise Cliente 2,finance2@client.tg,,CL002,FAC0139,120000.00,2026-09-02,2026-09-17
Entreprise Cliente 40,finance40@client.tg,,CL040,FAC0140,120000.00,2026-08-16,2026-10-15
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0141,350000.00,2026-08-09,2026-09-23
Entreprise Cliente 42,finance42@client.tg,,CL042,FAC0142,75000.00,2026-08-10,2026-10-09
Entreprise Cliente 57,finance57@client.tg,,CL057,FAC0143,750000.00,2026-09-08,2026-11-07
Entreprise Cliente 51,finance51@client.tg,,CL051,FAC0144,75000.00,2026-08-18,2026-10-02
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0145,750000.00,2026-09-11,2026-10-26
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0146,350000.00,2026-08-16,2026-09-15
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0147,1200000.00,2026-09-13,2026-10-13
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0148,75000.00,2026-09-03,2026-10-18
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0149,250000.00,2026-09-01,2026-09-16
Entreprise Cliente 38,finance38@client.tg,,CL038,FAC0150,5000000.00,2026-08-09,2026-08-24
Entreprise Cliente 47,finance47@client.tg,,CL047,FAC0151,2500000.00,2026-08-16,2026-08-31
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0152,350000.00,2026-08-20,2026-09-19
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0153,2500000.00,2026-08-12,2026-09-11
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0154,2500000.00,2026-09-10,2026-10-10
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0155,250000.00,2026-08-06,2026-09-20
Entreprise Cliente 33,finance33@client.tg,,CL033,FAC0156,1200000.00,2026-08-31,2026-10-30
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0157,1200000.00,2026-08-10,2026-10-09
Entreprise Cliente 35,finance35@client.tg,,CL035,FAC0158,250000.00,2026-08-06,2026-09-20
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0159,2500000.00,2026-09-05,2026-10-05
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0160,5000000.00,2026-08-20,2026-10-19
Entreprise Cliente 22,finance22@client.tg,,CL022,FAC0161,250000.00,2026-09-08,2026-11-07
Entreprise Cliente 1,finance1@client.tg,,CL001,FAC0162,75000.00,2026-08-13,2026-09-12
Entreprise Cliente 26,finance26@client.tg,,CL026,FAC0163,750000.00,2026-09-01,2026-10-31
Entreprise Cliente 42,finance42@client.tg,,CL042,FAC0164,120000.00,2026-08-25,2026-10-24
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0165,250000.00,2026-08-27,2026-09-11
Entreprise Cliente 23,finance23@client.tg,,CL023,FAC0166,5000000.00,2026-08-28,2026-10-12
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0167,1200000.00,2026-09-10,2026-10-25
Entreprise Cliente 3,finance3@client.tg,,CL003,FAC0168,750000.00,2026-08-16,2026-09-15
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0169,250000.00,2026-09-10,2026-09-25
Entreprise Cliente 10,finance10@client.tg,,CL010,FAC0170,500000.00,2026-09-08,2026-11-07
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0171,120000.00,2026-09-08,2026-10-08
Entreprise Cliente 59,finance59@client.tg,,CL059,FAC0172,350000.00,2026-08-26,2026-09-10
Entreprise Cliente 17,finance17@client.tg,,CL017,FAC0173,500000.00,2026-08-28,2026-09-27
Entreprise Cliente 20,finance20@client.tg,,CL020,FAC0174,1200000.00,2026-09-02,2026-11-01
Entreprise Cliente 37,finance37@client.tg,,CL037,FAC0175,750000.00,2026-08-06,2026-08-21
Entreprise Cliente 26,finance26@client.tg,,CL026,FAC0176,500000.00,2026-08-18,2026-09-17
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0177,120000.00,2026-08-11,2026-10-10
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0178,1200000.00,2026-09-03,2026-11-02
Entreprise Cliente 46,finance46@client.tg,,CL046,FAC0179,250000.00,2026-08-12,2026-09-26
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0180,2500000.00,2026-09-01,2026-10-01
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0181,75000.00,2026-09-06,2026-10-06
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0182,120000.00,2026-08-13,2026-09-27
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0183,120000.00,2026-09-10,2026-10-10
Entreprise Cliente 22,finance22@client.tg,,CL022,FAC0184,75000.00,2026-08-08,2026-09-22
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0185,120000.00,2026-08-31,2026-10-30
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0186,75000.00,2026-08-04,2026-09-18
Entreprise Cliente 39,finance39@client.tg,,CL039,FAC0187,5000000.00,2026-08-14,2026-08-29
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0188,750000.00,2026-08-18,2026-10-17
Entreprise Cliente 24,finance24@client.tg,,CL024,FAC0189,750000.00,2026-09-08,2026-11-07
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0190,1200000.00,2026-08-21,2026-09-20
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0191,750000.00,2026-08-25,2026-09-09
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0192,1200000.00,2026-08-07,2026-08-22
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0193,5000000.00,2026-08-09,2026-08-24
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0194,2500000.00,2026-08-18,2026-09-17
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0195,75000.00,2026-09-02,2026-11-01
Entreprise Cliente 52,finance52@client.tg,,CL052,FAC0196,750000.00,2026-08-02,2026-09-16
Entreprise Cliente 48,finance48@client.tg,,CL048,FAC0197,120000.00,2026-08-15,2026-10-14
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0198,120000.00,2026-08-23,2026-10-22
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0199,250000.00,2026-08-25,2026-10-09
Entreprise Cliente 32,finance32@client.tg,,CL032,FAC0200,120000.00,2026-09-03,2026-09-18
Entreprise Cliente 58,finance58@client.tg,,CL058,FAC0201,2500000.00,2026-09-13,2026-11-12
Entreprise Cliente 14,finance14@client.tg,,CL014,FAC0202,250000.00,2026-08-31,2026-09-30
Entreprise Cliente 2,finance2@client.tg,,CL002,FAC0203,250000.00,2026-08-07,2026-10-06
Entreprise Cliente 47,finance47@client.tg,,CL047,FAC0204,500000.00,2026-08-25,2026-10-09
Entreprise Cliente 9,finance9@client.tg,,CL009,FAC0205,5000000.00,2026-09-12,2026-09-27
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0206,120000.00,2026-08-06,2026-09-20
Entreprise Cliente 42,finance42@client.tg,,CL042,FAC0207,5000000.00,2026-08-25,2026-10-24
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0208,500000.00,2026-08-15,2026-09-14
Entreprise Cliente 22,finance22@client.tg,,CL022,FAC0209,350000.00,2026-08-06,2026-08-21
Entreprise Cliente 55,finance55@client.tg,,CL055,FAC0210,750000.00,2026-09-06,2026-10-21
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0211,5000000.00,2026-09-06,2026-09-21
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0212,750000.00,2026-08-13,2026-10-12
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0213,350000.00,2026-09-13,2026-10-13
Entreprise Cliente 35,finance35@client.tg,,CL035,FAC0214,2500000.00,2026-08-07,2026-10-06
Entreprise Cliente 32,finance32@client.tg,,CL032,FAC0215,2500000.00,2026-08-10,2026-09-24
Entreprise Cliente 48,finance48@client.tg,,CL048,FAC0216,75000.00,2026-09-08,2026-10-23
Entreprise Cliente 55,finance55@client.tg,,CL055,FAC0217,2500000.00,2026-08-20,2026-09-04
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0218,1200000.00,2026-09-10,2026-10-10
Entreprise Cliente 53,finance53@client.tg,,CL053,FAC0219,350000.00,2026-08-04,2026-09-18
Entreprise Cliente 55,finance55@client.tg,,CL055,FAC0220,2500000.00,2026-09-14,2026-09-29
Entreprise Cliente 36,finance36@client.tg,,CL036,FAC0221,1200000.00,2026-08-20,2026-09-19
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0222,1200000.00,2026-08-28,2026-10-27
Entreprise Cliente 47,finance47@client.tg,,CL047,FAC0223,500000.00,2026-08-26,2026-09-10
Entreprise Cliente 55,finance55@client.tg,,CL055,FAC0224,5000000.00,2026-08-19,2026-09-18
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0225,75000.00,2026-08-07,2026-09-06
Entreprise Cliente 42,finance42@client.tg,,CL042,FAC0226,250000.00,2026-09-15,2026-10-30
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0227,2500000.00,2026-09-06,2026-10-06
Entreprise Cliente 14,finance14@client.tg,,CL014,FAC0228,350000.00,2026-08-19,2026-09-18
Entreprise Cliente 51,finance51@client.tg,,CL051,FAC0229,250000.00,2026-08-24,2026-09-08
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0230,750000.00,2026-08-28,2026-09-27
Entreprise Cliente 33,finance33@client.tg,,CL033,FAC0231,750000.00,2026-08-12,2026-08-27
Entreprise Cliente 3,finance3@client.tg,,CL003,FAC0232,120000.00,2026-08-10,2026-10-09
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0233,250000.00,2026-08-26,2026-10-25
Entreprise Cliente 51,finance51@client.tg,,CL051,FAC0234,120000.00,2026-09-11,2026-11-10
Entreprise Cliente 41,finance41@client.tg,,CL041,FAC0235,2500000.00,2026-09-11,2026-11-10
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0236,120000.00,2026-08-24,2026-09-08
Entreprise Cliente 38,finance38@client.tg,,CL038,FAC0237,2500000.00,2026-09-01,2026-10-01
Entreprise Cliente 12,finance12@client.tg,,CL012,FAC0238,1200000.00,2026-09-14,2026-09-29
Entreprise Cliente 37,finance37@client.tg,,CL037,FAC0239,250000.00,2026-08-31,2026-10-30
Entreprise Cliente 46,finance46@client.tg,,CL046,FAC0240,5000000.00,2026-08-07,2026-09-21
Entreprise Cliente 36,finance36@client.tg,,CL036,FAC0241,5000000.00,2026-08-26,2026-09-10
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0242,5000000.00,2026-09-03,2026-11-02
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0243,250000.00,2026-08-14,2026-08-29
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0244,75000.00,2026-09-05,2026-11-04
Entreprise Cliente 11,finance11@client.tg,,CL011,FAC0245,120000.00,2026-08-09,2026-09-08
Entreprise Cliente 33,finance33@client.tg,,CL033,FAC0246,500000.00,2026-08-03,2026-08-18
Entreprise Cliente 43,finance43@client.tg,,CL043,FAC0247,75000.00,2026-09-04,2026-10-04
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0248,500000.00,2026-08-16,2026-09-30
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0249,5000000.00,2026-08-09,2026-10-08
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0250,75000.00,2026-09-08,2026-10-08
